T26,Population employed in research and development (R&D),,,,,
112,Belarus,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"9,585",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2015,R & D personnel: Total (number in full-time equivalent),"26,153",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2015,R & D personnel: Researchers - total (number in full-time equivalent),"16,953",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2015,R & D personnel: Researchers - women (number in full-time equivalent),"6,863",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2015,R & D personnel: Technicians - total (number in full-time equivalent),"1,736",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,464",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2005,R & D personnel: Total (number in full-time equivalent),"53,517",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2005,R & D personnel: Researchers - total (number in full-time equivalent),"33,146",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2005,R & D personnel: Researchers - women (number in full-time equivalent),"9,769",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2005,R & D personnel: Technicians - total (number in full-time equivalent),"15,047",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2005,R & D personnel: Technicians - women (number in full-time equivalent),"4,585",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,324",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,702",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2010,R & D personnel: Total (number in full-time equivalent),"60,075",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2010,R & D personnel: Researchers - total (number in full-time equivalent),"40,832",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2010,R & D personnel: Researchers - women (number in full-time equivalent),"12,962",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2010,R & D personnel: Technicians - total (number in full-time equivalent),"14,401",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2010,R & D personnel: Technicians - women (number in full-time equivalent),"5,079",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"4,841",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,517",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2011,R & D personnel: Total (number in full-time equivalent),"62,895",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2011,R & D personnel: Researchers - total (number in full-time equivalent),"42,686",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2011,R & D personnel: Researchers - women (number in full-time equivalent),"13,545",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2011,R & D personnel: Technicians - total (number in full-time equivalent),"15,176",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2011,R & D personnel: Technicians - women (number in full-time equivalent),"5,232",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,033",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,575",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2015,R & D personnel: Total (number in full-time equivalent),"77,864",Estimate.;Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
56,Belgium,2015,R & D personnel: Researchers - total (number in full-time equivalent),"55,087",Estimate.;Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
204,Benin,2007,R & D personnel: Researchers - total (number in full-time equivalent),"1,000",Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
60,Bermuda,2010,R & D personnel: Total (number in full-time equivalent),80,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
